,DTP_1,DTS_1,GR_1,MD_1,NPHI_1,RT_1,RHOB_1
199,89.51328,,67.9031,99.512184,,18.255756,2.4857748
200,90.82557,,69.6818,99.98128,,17.099113,2.4839063
201,91.80037,,71.00013,100.50534,,17.010817,2.494941
202,90.40486,,68.57347,101.030495,,17.482443,2.5196214
203,89.874954,,71.197685,101.49902,,16.635485,2.4987783
204,90.773445,,75.26343,102.02259,,15.739501,2.4733472
205,90.60752,,72.360794,102.492805,,17.0138,2.500736
206,90.68378,,68.794495,103.016655,,17.440626,2.5174696
207,89.937485,,67.52978,103.48586,,16.247799,2.5102253
208,89.850494,,68.62789,104.009315,,15.607232,2.5157106
209,91.81186,,73.169586,104.48026,,15.077565,2.536069
210,93.18433,,78.15554,105.0028,,14.827043,2.5312715
211,96.78391,,78.32756,105.4727,,14.032186,2.5035045
212,100.16976,,78.08725,105.99604,,12.176999,2.4898217
213,100.86718,,83.34646,106.519455,,11.399301,2.4946916
214,99.66371,,83.30278,106.988945,,12.009013,2.5043252
215,101.40016,,77.22332,107.512276,,18.330984,2.5228086
216,115.1639,,74.12105,107.98277,,53.69218,2.4293094
217,128.02303,,77.59711,108.5063,,94.649376,2.1935909
218,129.66388,,79.88019,108.9751,,122.96273,2.0870337
219,128.12248,,82.58459,109.49974,,294.26614,2.1078753
220,127.48963,,83.13829,110.024315,,939.28436,2.089357
221,126.937454,,78.49984,110.49314,,1108.4808,2.0776763
222,118.03252,,81.14948,111.01666,,533.23553,2.0948524
223,113.60184,,89.847664,111.48721,,196.80513,2.1704867
224,119.43812,,91.68446,112.01046,,292.3087,2.2177079
225,122.68115,,96.815506,112.47998,,341.20407,2.1759105
226,121.4728,,95.1452,113.00339,,325.7724,2.137726
227,122.05737,,84.233696,113.52675,,658.1387,2.1282923
228,124.5665,,79.85174,113.996605,,667.3614,2.1051717
229,122.97404,,76.813805,114.5192,,300.07352,2.1154146
230,121.83368,,77.314735,114.99011,,198.22705,2.1263077
231,122.64351,,75.948235,115.51357,,130.04457,2.0889163
