,DTP_1,DTS_1,GR_1,NPHI_1,RT_1,RHOB_1
3488,93.065384,176.52934,176.27515,0.21561284,9.8308,2.598725
3489,93.56229,174.26462,183.70877,0.23522063,7.321714,2.5885403
3490,91.57257,161.66382,184.77724,0.23926531,5.465186,2.5859547
3491,83.77176,146.49878,171.0174,0.21768296,4.257667,2.6042566
3492,75.13761,139.76836,150.1346,0.17262284,4.119667,2.6364365
3493,74.675,146.29272,154.88539,0.16086249,5.105428,2.6450224
3494,80.06604,158.0593,168.65202,0.18418176,7.6726003,2.631414
3495,87.11276,168.91821,177.49002,0.22228235,9.609867,2.6060314
3496,90.76081,173.45734,182.40051,0.2482931,7.9891,2.5884068
3497,90.38547,171.75397,182.9964,0.25334886,6.0575433,2.5863776
3498,86.39594,166.3635,175.79114,0.23167938,4.682417,2.591078
3499,81.9838,160.78009,164.0161,0.20193121,4.4935,2.6095848
3500,82.88145,155.6731,168.5735,0.20384315,5.084143,2.6202576
3501,82.17835,151.05624,179.30252,0.2047494,5.939743,2.6241138
3502,81.01631,142.99423,177.89566,0.19930187,5.9339833,2.6240652
3503,76.25508,131.64444,166.36945,0.18425111,6.3259997,2.6293554
3504,66.89315,120.86948,142.82504,0.13687499,6.703428,2.630903
3505,62.01666,120.34942,123.79605,0.097873345,7.657467,2.6151707
3506,68.29141,131.55374,127.56078,0.105506666,14.454234,2.610795
3507,76.349884,140.4378,152.48972,0.15376334,23.8897,2.608636
3508,77.778595,145.47456,170.51088,0.1872575,22.151571,2.603891
3509,75.88932,147.80588,167.02242,0.1845775,11.483251,2.6023524
3510,76.99248,148.87413,164.84624,0.1868165,8.607972,2.597286
3511,79.649,146.66644,166.3789,0.19069237,9.899971,2.5897543
3512,80.28887,139.56026,168.2899,0.19765212,9.831384,2.582283
3513,74.10892,131.97453,153.7624,0.16865687,8.675599,2.5563633
3514,69.13055,124.42718,137.78123,0.13671649,7.9984283,2.5192356
3515,67.58335,120.592384,133.59688,0.12434764,11.968101,2.5346954
3516,65.02828,118.48914,127.15392,0.104862146,17.962732,2.5879896
3517,65.58603,118.953896,127.10853,0.10411937,20.88415,2.6030517
3518,66.369194,121.181496,131.28348,0.11157883,23.941343,2.5961478
3519,66.53387,125.3183,130.65157,0.11005943,23.213701,2.5879564
3520,73.12608,133.71396,142.72057,0.12991212,20.489851,2.5807827
3521,77.17422,138.96684,164.3127,0.16986893,24.082355,2.5930023
3522,74.15629,137.31508,165.09842,0.17102279,20.778856,2.6191812
3523,69.37069,130.99664,149.90259,0.140442,10.108449,2.6397974
3524,67.48315,129.3903,142.41061,0.122376435,9.339,2.6222343
3525,69.97987,137.01007,150.13112,0.13435368,12.834671,2.6161652
3526,75.53165,145.64449,162.28018,0.1608539,15.015929,2.6199431
3527,79.89983,153.84346,175.03592,0.18733668,14.536767,2.6212046
3528,81.62823,161.68752,179.83278,0.19815439,10.6861725,2.6226602
3529,85.61137,166.36275,180.62581,0.21641317,8.313672,2.6159427
3530,88.52497,168.16351,183.17609,0.23649502,7.5217667,2.604278
